species,year,germ_num,LxBx,Kt
ERCI,1983,50,5.6,10.34289696
ERCI,1984,47,1.787234043,75.68404855
ERCI,1985,9,3.333333333,NA
ERCI,1986,23,11.30434783,18.71078321
ERCI,1987,25,18.6,18.63981716
ERCI,1988,31,0.161290323,6.989436935
ERCI,1989,4,0,0
ERCI,1990,10,24.5,31.8488094
ERCI,1991,4,7.5,NA
ERCI,1992,35,34.85714291,NA
ERCI,1993,4,3.75,4.044265695
ERCI,1994,7,NA,NA
ERCI,1995,112,29.9694227,NA
ERCI,1996,238,0,0
ERCI,1997,40,0.25,7.583690845
ERCI,1998,28,165.8928571,NA
ERCI,1999,151,0,0
ERCI,2000,43,0,0
ERCI,2001,145,114.6756562,NA
ERCI,2002,491,0,0
ERCI,2003,149,1.812080537,7.984482735
ERCI,2004,62,23.5483871,40.08892052
ERCI,2005,136,92.32870071,NA
ERCI,2006,0,NA,NA
ERCI,2007,186,2.956989247,2.967737862
ERCI,2008,80,60.89285714,65.41816682
ERCI,2009,114,4.67879257,NA
ERCI,2010,151,19.67627166,31.41231458
ERCI,2011,130,0,0
ERCI,2012,116,17.05741995,NA
ERLA,1983,49,59.59183673,62.43337574
ERLA,1984,72,0.388888889,6.818230632
ERLA,1985,78,6.728204972,15.10461007
ERLA,1986,67,5.328358209,6.92612158
ERLA,1987,77,16.03896104,19.86382027
ERLA,1988,105,2.857142857,NA
ERLA,1989,69,0,0
ERLA,1990,10,20,40.00082184
ERLA,1991,55,64.425,145.4452897
ERLA,1992,116,80.23976293,98.87930846
ERLA,1993,109,22.46788991,43.31504352
ERLA,1994,3,NA,NA
ERLA,1995,222,25.94043495,NA
ERLA,1996,15,0,0
ERLA,1997,8,0,0
ERLA,1998,51,278.7008355,377.2092224
ERLA,1999,10,0,0
ERLA,2000,0,NA,NA
ERLA,2001,438,126.7751142,138.0616052
ERLA,2002,0,NA,NA
ERLA,2003,5,45,NA
ERLA,2004,72,16.04166698,91.51473522
ERLA,2005,103,129.5901858,153.6995926
ERLA,2006,0,NA,NA
ERLA,2007,18,1.633333365,2.991874159
ERLA,2008,361,151.2074304,NA
ERLA,2009,86,4.111627823,5.418938784
ERLA,2010,1238,47.16915911,47.20500854
ERLA,2011,3,0,0
ERLA,2012,1775,10.45864123,11.13173458
ERTE,1983,14,8.214285714,59.28758945
ERTE,1984,20,0.8,0.897823317
ERTE,1985,5,18,NA
ERTE,1986,7,5,10.00014907
ERTE,1987,9,7.777777778,15.000747
ERTE,1988,19,0.526315789,4.999810441
ERTE,1989,14,0,0
ERTE,1990,10,9,NA
ERTE,1991,23,12.07729469,18.30497127
ERTE,1992,22,59.77272727,NA
ERTE,1993,2,0,0
ERTE,1994,4,NA,NA
ERTE,1995,11,5.454545455,NA
ERTE,1996,7,0,0
ERTE,1997,1,10,NA
ERTE,1998,4,66.25,110.9947201
ERTE,1999,13,0,0
ERTE,2000,3,0,0
ERTE,2001,18,65.2037037,NA
ERTE,2002,3,0,0
ERTE,2003,15,4.8,6.590966504
ERTE,2004,35,21.71428571,30.69500691
ERTE,2005,57,49.72431078,80.66461474
ERTE,2006,0,NA,NA
ERTE,2007,24,6.25,8.591729032
ERTE,2008,39,80.17871018,105.6572115
ERTE,2009,27,15.37037037,NA
ERTE,2010,58,25.80901857,NA
ERTE,2011,23,0,0
ERTE,2012,97,18.69697482,NA
EVMU,1983,98,97.32755132,NA
EVMU,1984,300,17.4825,NA
EVMU,1985,115,47.19565217,NA
EVMU,1986,179,12.16480447,35.42791257
EVMU,1987,36,24.52777778,NA
EVMU,1988,40,0.525,6.999928957
EVMU,1989,36,0,0
EVMU,1990,2,0,0
EVMU,1991,44,115.201049,NA
EVMU,1992,75,45.0308003,55.99710539
EVMU,1993,70,44.03428579,NA
EVMU,1994,5,NA,NA
EVMU,1995,155,64.93447094,NA
EVMU,1996,12,0,0
EVMU,1997,0,NA,NA
EVMU,1998,98,1844.92593,NA
EVMU,1999,4,0,0
EVMU,2000,7,0,0
EVMU,2001,1086,347.7641976,NA
EVMU,2002,0,NA,NA
EVMU,2003,19,0,0
EVMU,2004,62,16.32741916,115.5496144
EVMU,2005,107,164.6205613,NA
EVMU,2006,0,NA,NA
EVMU,2007,0,NA,NA
EVMU,2008,282,228.5337333,NA
EVMU,2009,47,0,0
EVMU,2010,1050,48.88244373,NA
EVMU,2011,0,NA,NA
EVMU,2012,639,6.798123436,12.32586623
MOBE,1983,91,5.604395604,13.43683747
MOBE,1984,164,7.18597561,NA
MOBE,1985,61,6.950819672,18.33295023
MOBE,1986,60,2.566666667,19.86580675
MOBE,1987,48,28.39583333,NA
MOBE,1988,63,2.666666667,NA
MOBE,1989,42,0.904761905,53.58129322
MOBE,1990,3,54.66666667,81.99842174
MOBE,1991,35,13.68,99.30540494
MOBE,1992,70,31.95,96.91167532
MOBE,1993,135,20.22222222,21.00582962
MOBE,1994,5,NA,NA
MOBE,1995,145,34.11494253,38.91189547
MOBE,1996,34,0,0
MOBE,1997,6,6.833333333,20.08955443
MOBE,1998,1,NA,NA
MOBE,1999,0,NA,NA
MOBE,2000,0,NA,NA
MOBE,2001,185,105.4972973,122.9404387
MOBE,2002,0,NA,NA
MOBE,2003,0,NA,NA
MOBE,2004,2,289.0999985,NA
MOBE,2005,39,168.9120628,NA
MOBE,2006,0,NA,NA
MOBE,2007,6,0,0
MOBE,2008,143,97.61255946,213.3000799
MOBE,2009,77,11.55227273,18.4986915
MOBE,2010,215,27.14883802,NA
MOBE,2011,1,0,0
MOBE,2012,50,11.71012931,24.56444323
PEHE,1983,0,NA,NA
PEHE,1984,0,NA,NA
PEHE,1985,0,NA,NA
PEHE,1986,0,NA,NA
PEHE,1987,0,NA,NA
PEHE,1988,0,NA,NA
PEHE,1989,0,NA,NA
PEHE,1990,0,NA,NA
PEHE,1991,10,0,0
PEHE,1992,46,79.47826087,NA
PEHE,1993,0,NA,NA
PEHE,1994,113,NA,NA
PEHE,1995,372,89.18788143,NA
PEHE,1996,2342,0,0
PEHE,1997,253,0.09486166,1.127947941
PEHE,1998,122,NA,NA
PEHE,1999,241,0,0
PEHE,2000,107,0,0
PEHE,2001,137,106.8231649,181.6351491
PEHE,2002,42,0,0
PEHE,2003,133,9.593984962,28.26714002
PEHE,2004,226,35.8834167,36.97714429
PEHE,2005,324,141.7844218,NA
PEHE,2006,0,NA,NA
PEHE,2007,144,9.288461538,18.49129351
PEHE,2008,254,217.2338453,NA
PEHE,2009,2708,4.124700315,8.267234073
PEHE,2010,1953,6.598869882,26.43000717
PEHE,2011,75,0.106666667,2.784031341
PEHE,2012,884,36.80539273,NA
PERE,1983,2,0,0
PERE,1984,25,0.52,3.581923691
PERE,1985,4,0,0
PERE,1986,41,7.024390244,14.35645978
PERE,1987,101,37.83168317,82.45065556
PERE,1988,783,2.698595147,9.706541115
PERE,1989,199,0.08040201,NA
PERE,1990,12,3.333333333,NA
PERE,1991,13,62.46153846,423.366859
PERE,1992,58,34.62068966,67.39696586
PERE,1993,110,11.19272721,11.54324018
PERE,1994,201,NA,NA
PERE,1995,1433,48.96919252,NA
PERE,1996,1821,0.059802307,NA
PERE,1997,882,1.827664399,3.018620684
PERE,1998,906,123.3406643,NA
PERE,1999,1475,0.012379661,7.780339696
PERE,2000,1277,0.072043853,1.588833342
PERE,2001,2123,102.365732,178.0385322
PERE,2002,428,0,0
PERE,2003,1166,5.571183533,NA
PERE,2004,887,22.58888141,NA
PERE,2005,3005,123.5540765,NA
PERE,2006,0,NA,NA
PERE,2007,1142,6.67857231,NA
PERE,2008,299,176.0630057,NA
PERE,2009,4638,3.367642656,4.586421086
PERE,2010,1953,25.55051179,NA
PERE,2011,383,0,0
PERE,2012,2137,22.32139538,NA
PLIN,1983,396,17.96464646,66.90675944
PLIN,1984,996,3.060240964,4.642718136
PLIN,1985,286,6.723426499,7.05262579
PLIN,1986,360,3.702777778,NA
PLIN,1987,123,19.62601626,NA
PLIN,1988,325,0.443076923,NA
PLIN,1989,73,2.02739726,2.554611098
PLIN,1990,11,34.42424242,NA
PLIN,1991,13,69.23076923,89.57712625
PLIN,1992,160,14.18750002,29.06108517
PLIN,1993,167,3.113772455,12.74322809
PLIN,1994,178,NA,NA
PLIN,1995,114,20.02252252,26.85360295
PLIN,1996,471,0.305732484,25.66171006
PLIN,1997,27,2.444444444,3.18801989
PLIN,1998,23,26.89855032,55.28491022
PLIN,1999,9,0,0
PLIN,2000,0,NA,NA
PLIN,2001,41,84.28861789,121.5468761
PLIN,2002,1,0,0
PLIN,2003,61,19.21311475,36.01011964
PLIN,2004,0,NA,NA
PLIN,2005,33,107.7344029,120.4096886
PLIN,2006,0,NA,NA
PLIN,2007,15,40.73066711,55.5953742
PLIN,2008,21,130.8999998,NA
PLIN,2009,35,5.942857143,10.77900219
PLIN,2010,65,17.5739645,25.85489643
PLIN,2011,7,0.571428571,2.819895986
PLIN,2012,116,12.35552413,15.22593159
PLPA,1983,330,16.23030303,35.01232002
PLPA,1984,1749,3.866781018,7.909780249
PLPA,1985,166,9.854819464,13.59633131
PLPA,1986,127,19.81102362,NA
PLPA,1987,290,14.38275862,20.1116651
PLPA,1988,693,1.073593074,NA
PLPA,1989,138,0.333333333,NA
PLPA,1990,10,0,0
PLPA,1991,88,31.4469697,44.63864662
PLPA,1992,420,18.83793086,34.20254307
PLPA,1993,316,6.455696203,9.712366787
PLPA,1994,137,NA,NA
PLPA,1995,1958,23.71157655,NA
PLPA,1996,1631,0.013488657,NA
PLPA,1997,150,3.52,10.9846627
PLPA,1998,96,87.51041782,184.4908742
PLPA,1999,79,0,0
PLPA,2000,0,NA,NA
PLPA,2001,105,196.0282051,NA
PLPA,2002,3,0,0
PLPA,2003,31,27.09677419,28.60266799
PLPA,2004,68,4.332058843,13.42877778
PLPA,2005,22,122.9511115,NA
PLPA,2006,0,NA,NA
PLPA,2007,52,36.37576945,62.77770534
PLPA,2008,24,109.84375,NA
PLPA,2009,92,2.891304348,5.705325289
PLPA,2010,111,15.81011781,NA
PLPA,2011,1,0,0
PLPA,2012,53,14.07162057,14.81920991
SCBA,1983,100,141.6,NA
SCBA,1984,1136,3.888909745,4.99481313
SCBA,1985,82,30,30.00183899
SCBA,1986,175,25.8,NA
SCBA,1987,360,56.61388889,NA
SCBA,1988,195,0.333333333,1.622876188
SCBA,1989,254,0.350393701,NA
SCBA,1990,54,65.48148148,NA
SCBA,1991,100,51.98,NA
SCBA,1992,930,917.8032688,NA
SCBA,1993,718,23.02697426,NA
SCBA,1994,76,NA,NA
SCBA,1995,1984,60.7622521,NA
SCBA,1996,908,0.026431718,12.23743872
SCBA,1997,33,0.666666667,3.599878158
SCBA,1998,243,657.4421276,NA
SCBA,1999,195,0.056923078,7.215272788
SCBA,2000,11,0,0
SCBA,2001,682,293.0037415,NA
SCBA,2002,27,0,0
SCBA,2003,150,2.486666667,23.88140207
SCBA,2004,134,54.62686567,145.0966395
SCBA,2005,202,682.1005434,NA
SCBA,2006,0,NA,NA
SCBA,2007,268,7.313432836,12.06007005
SCBA,2008,232,458.6619366,NA
SCBA,2009,450,22.76181555,NA
SCBA,2010,950,96.48252904,NA
SCBA,2011,1317,0.311617312,1.408886956
SCBA,2012,1025,112.6772967,NA
STMI,1983,15,57.6,141.8684188
STMI,1984,12,4.5,33.11876367
STMI,1985,7,20.57142857,41.21078525
STMI,1986,81,12.61728395,12.87688656
STMI,1987,96,11.46875,NA
STMI,1988,110,1.209090909,20.64348968
STMI,1989,5,0,0
STMI,1990,0,NA,NA
STMI,1991,0,NA,NA
STMI,1992,12,412.3833262,NA
STMI,1993,51,48.60000042,NA
STMI,1994,49,NA,NA
STMI,1995,598,45.86077358,NA
STMI,1996,59,0,0
STMI,1997,4,0,0
STMI,1998,329,186.6568702,NA
STMI,1999,33,0,0
STMI,2000,3,0,0
STMI,2001,939,77.77454739,NA
STMI,2002,0,NA,NA
STMI,2003,11,1.818181818,7.400148
STMI,2004,172,4.655813927,94.1150937
STMI,2005,34,153.5672278,162.1045216
STMI,2006,0,NA,NA
STMI,2007,10,4.176000023,20.88017199
STMI,2008,68,56.36855649,79.71039469
STMI,2009,42,0.695238113,7.300187261
STMI,2010,73,9.157359996,11.80236577
STMI,2011,1,0,0
STMI,2012,455,1.871829861,10.06536175
VUOC,1983,0,NA,NA
VUOC,1984,0,NA,NA
VUOC,1985,0,NA,NA
VUOC,1986,0,NA,NA
VUOC,1987,13,15.38461538,21.91124554
VUOC,1988,31,3,NA
VUOC,1989,0,NA,NA
VUOC,1990,13,6.461538462,42.00127605
VUOC,1991,8,NA,NA
VUOC,1992,26,198.8356266,NA
VUOC,1993,107,NA,NA
VUOC,1994,145,NA,NA
VUOC,1995,958,70.06225549,NA
VUOC,1996,332,NA,NA
VUOC,1997,22,0,0
VUOC,1998,130,95.03542478,99.52411733
VUOC,1999,127,0,0
VUOC,2000,3,0,0
VUOC,2001,32,403.06875,NA
VUOC,2002,0,NA,NA
VUOC,2003,0,NA,NA
VUOC,2004,1,19,NA
VUOC,2005,1,373.75,373.7548122
VUOC,2006,0,NA,NA
VUOC,2007,0,NA,NA
VUOC,2008,12,138.4074072,NA
VUOC,2009,51,1.286274499,8.068761493
VUOC,2010,34,75.30000045,NA
VUOC,2011,7,0,0
VUOC,2012,75,22.59465711,35.01932318